id,username,created_at,lng,lat,text
1517647497975386112,JeffJ1968,Fri Apr 22 23:32:14 +0000 2022,-122.29648850000001,47.442583,Check out Drankiefades's video! #TikTok https://t.co/bucLY8Zr4Q Incredible message
1517647528648314880,D4White5d2,Fri Apr 22 23:32:22 +0000 2022,-120.58340150000001,44.1454365,We do.  No lights allowed by anyone to photography any objects in the park at night.
1517647564249591808,AnEssentialNPC,Fri Apr 22 23:32:30 +0000 2022,-120.882482,47.273022,"@aliDasDnD Depends on the level and type of horror your wanting. For low level slasher style horror, a zombie outbr… https://t.co/vde4E0FEe7"
1517647570654220288,valmont1702,Fri Apr 22 23:32:32 +0000 2022,-122.3306025,47.614817,@Chessie_Kay Thinking of you 💜💜 xx
1517647584956862465,robkellyclark,Fri Apr 22 23:32:35 +0000 2022,-122.163996,47.530428,"@FoxNews Yes, crash the casino!"
1517647627927494656,film_girl,Fri Apr 22 23:32:45 +0000 2022,-122.3306025,47.614817,"Like, I imagine a weekly or monthly digest that gives us the thrilling conclusion to what happened next to the peop… https://t.co/ontDuxXDDq"
1517647643949764608,ragincuponudelz,Fri Apr 22 23:32:49 +0000 2022,-119.2796615,46.2581775,@slayitmama 😮 yo holy shit.... You look great
1517647650828414976,SimplyDonniesha,Fri Apr 22 23:32:51 +0000 2022,-122.2180755,47.3923115,@jaeesneak23 I literally know😂😂😂
1517647652036374529,Adron,Fri Apr 22 23:32:51 +0000 2022,-122.3306025,47.614817,@danbarua I missed which tweet is the follow up to this one?
1517647658743042048,LauraBourmatnov,Fri Apr 22 23:32:53 +0000 2022,-122.29648850000001,47.442583,@arbyyyyh We were scheduled for 1:55 departure. Almost made it
1517647696919629824,mpitt80,Fri Apr 22 23:33:02 +0000 2022,-122.061771,47.67881250000001,@MainManPlan Game experience is good
1517647720420282369,BestSeattle77,Fri Apr 22 23:33:07 +0000 2022,-122.3306025,47.614817,Any Seattle @BrentfordFC fans want to meet up at The George &amp; Dragon tomorrow morning for the game? I’ll bring stic… https://t.co/7lN3WrEwD4
1517647721766612992,jordanborth,Fri Apr 22 23:33:08 +0000 2022,-123.49023600000001,48.826854499999996,"@jesselash Been looking at a Tango as well, but they seem to be sold out everywhere and have been for months 🤨 Also… https://t.co/CjSQayDB7C"
1517647731480694784,zub,Fri Apr 22 23:33:10 +0000 2022,-122.3306025,47.614817,I will do many things in this life. But I will never change these pants.
1517647731677749248,VinoComitatus,Fri Apr 22 23:33:10 +0000 2022,-122.16076749999999,47.4506245,@TheRickWilson @GOPLeader @reedgalen @threadreaderapp unroll
1517647745850347521,jzimbabwe,Fri Apr 22 23:33:13 +0000 2022,-117.5344415,47.6164385,@ashtondoyle Are you on the delta flight from Atlanta? Me too!
1517647804964872192,ExitPuzzles,Fri Apr 22 23:33:27 +0000 2022,-122.923516,47.064528,Escaped with just 7 seconds remaining! Fantastic teamwork everyone! Doesn’t get much closer than that 😜… https://t.co/wHyupenPIF
1517647810199363584,dbm422,Fri Apr 22 23:33:29 +0000 2022,-122.5899815,47.534422500000005,@ErnestoD819 @fromlos @galleg000s Hey you 2 shut up! Old guys rule
1517647842747158528,ladyjayewest,Fri Apr 22 23:33:36 +0000 2022,-122.3306025,47.614817,And this is how it turns out! #Smoked #filetmignon for #steaknight! Reservations/Takeout: https://t.co/U4Q4PCJ9Ht… https://t.co/daL5NZzmoU
1517647894672601088,robkellyclark,Fri Apr 22 23:33:49 +0000 2022,-122.163996,47.530428,@reaper_oda @Elizabe19214542 It is so wonderful to read the words from someone fully awake.  You make me feel less insane.
1517647897252167682,Michael1Kelly,Fri Apr 22 23:33:49 +0000 2022,-122.2876755,47.2306435,This guy requested to follow my 14 year old daughter… https://t.co/Eb3BymVAhJ
